[2023-04-14 21:33:20,029] Register - Step 01: Navigate to 'Register' page
[2023-04-14 21:33:21,349] Register - Step 02: Enter to Firstname textbox with value is'Automation'
[2023-04-14 21:33:21,442] Register - Step 03: Enter to Lastname textbox with value is'FC'
[2023-04-14 21:33:22,459] Register - Step 04: Enter to Email textbox with value is'afc2382@mail.vn'
[2023-04-14 21:33:22,596] Register - Step 05: Enter to Password textbox with value is'123456'
[2023-04-14 21:33:22,687] Register - Step 06: Enter to Confirm Password textbox with value is'123456'
[2023-04-14 21:33:27,784] Register - Step 07: Click to 'Register' button
[2023-04-14 21:33:30,958] Register - Step 08: Verify Register success message is displayed
[2023-04-14 21:33:31,073] Login - Step 01: Navigate to 'Login' page
[2023-04-14 21:33:38,568] Login - Step 02: Enter to Email textbox with value is'afc2382@mail.vn'
[2023-04-14 21:33:38,657] Login - Step 03: Enter to Password textbox with value is'123456'
[2023-04-14 21:33:38,743] Login - Step 04: Click to 'Login' button and navigate to 'Home' page
[2023-04-14 21:33:40,548] Login - Step 05: Verify 'My Account' link is displayed
[2023-04-14 21:33:40,627] My Account - Step 01: Navigate to 'CustomerInfo' page
[2023-04-14 21:33:41,264] My Account - Step 02: Verify 'CustomerInfo' is displayed
[2023-04-14 21:33:41,333] My Account - Step 03: Verify 'Firstname' valueis correctly
[2023-04-14 21:33:41,391] My Account - Step 04: Verify 'Lastname' valueis correctly
[2023-04-14 21:33:41,456] My Account - Step 05: Verify 'Email' valueis correctly
[2023-04-14 21:33:41,519] OS name = windows 11
[2023-04-14 21:33:41,519] Driver instance name = firefoxdriver: firefox on windows (11053ecd-b88d-4adc-8e97-c3a3111021bf)
